label,total_character,letters,numbers,special_characters,letters_number,dots,lowercase_letters,uppercase_letters,subdomains_count,subdomain1,subdomain1_letters,subdomain1_numbers,subdomain1_special,subdomain2,subdomain2_letters,subdomain2_numbers,subdomain2_special,subdomain3,subdomain3_letters,subdomain3_numbers,subdomain3_special,subdomain4,subdomain4_letters,subdomain4_numbers,subdomain4_special
0,11,7,4,0,11,0,7,0,1,11,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1,110,89,15,3,104,3,51,38,4,29,23,6,0,29,25,3,1,27,20,6,1,22,21,0,1
0,17,15,0,0,15,2,15,0,2,10,10,0,0,5,5,0,0,0,0,0,0,0,0,0,0
1,54,43,10,0,53,1,33,10,2,39,33,6,0,14,10,4,0,0,0,0,0,0,0,0,0
0,70,24,35,2,59,9,24,0,10,3,1,1,1,11,1,9,1,2,0,2,0,4,1,3,0
0,3,2,1,0,3,0,2,0,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,71,29,31,2,60,9,29,0,10,3,1,1,1,11,0,10,1,3,0,3,0,4,1,3,0
1,132,105,23,1,128,3,61,44,4,43,36,7,0,29,26,3,0,30,23,6,1,27,20,7,0
0,75,29,35,2,64,9,29,0,10,3,1,1,1,11,1,9,1,7,0,7,0,4,1,3,0
0,46,22,22,0,44,2,22,0,3,33,12,21,0,7,7,0,0,4,3,1,0,0,0,0,0
0,3,3,0,0,3,0,3,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,74,33,30,2,63,9,33,0,10,4,0,3,1,11,1,9,1,5,0,5,0,4,1,3,0
0,73,28,34,2,62,9,28,0,10,3,1,1,1,11,0,10,1,5,0,5,0,4,1,3,0
1,59,43,15,0,58,1,31,12,2,40,28,12,0,18,15,3,0,0,0,0,0,0,0,0,0
1,8,8,0,0,8,0,8,0,1,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,50,38,11,0,49,1,26,12,2,35,29,6,0,14,9,5,0,0,0,0,0,0,0,0,0
1,44,31,12,0,43,1,24,7,2,35,25,10,0,8,6,2,0,0,0,0,0,0,0,0,0
0,47,26,18,1,44,2,26,0,3,33,15,18,0,7,7,0,0,5,4,0,1,0,0,0,0
0,17,16,0,0,16,1,16,0,2,13,13,0,0,3,3,0,0,0,0,0,0,0,0,0,0
