Epoch: 115, Train Loss: 31.4177, Val Loss: 27.4435, In domain: racing.com, Out domain: raning.com, In domain validation: bonyadonline.com, Out domain validation: ocoadanlele.com
Epoch: 116, Train Loss: 31.4181, Val Loss: 27.4712, In domain: nporadio5.nl, Out domain: trtridao5.nl, In domain validation: karty-mira.su, Out domain validation: karayimima.su
Epoch: 117, Train Loss: 31.3503, Val Loss: 27.4650, In domain: hiroom2.com, Out domain: rih2omo.com, In domain validation: rolfstone.com, Out domain validation: rflfstete.com
Epoch: 118, Train Loss: 31.2186, Val Loss: 27.4303, In domain: lr-online.de, Out domain: -o-oilind.de, In domain validation: astro-urseanu.ro, Out domain validation: trtsororanseo.ru
Epoch: 119, Train Loss: 31.2624, Val Loss: 27.4186, In domain: jaybela.com, Out domain: yaylele.com, In domain validation: efaltirio.wordpress.com, Out domain validation: edeirlrio.wordrrers.com
Epoch: 120, Train Loss: 31.2895, Val Loss: 27.4411, In domain: cstrike.top, Out domain: cstrere.tot, In domain validation: inomak.com, Out domain validation: inakak.com
Epoch: 121, Train Loss: 31.3879, Val Loss: 27.4334, In domain: gadgetsadviser.com, Out domain: gadgdtsadviees.com, In domain validation: hackandslash.com, Out domain validation: hahkandslala.com
Epoch: 122, Train Loss: 31.2453, Val Loss: 27.3986, In domain: aiepvirtual.cl, Out domain: iaigivirarac.cl, In domain validation: infinitinews.com, Out domain validation: fifininiwene.com
Epoch: 123, Train Loss: 31.3115, Val Loss: 27.4197, In domain: idealhome.su, Out domain: iaidlmlms.eu, In domain validation: mcqspoint.com, Out domain validation: mcqcpnioi.com
Epoch: 124, Train Loss: 31.4040, Val Loss: 27.4232, In domain: dariushgroup.com, Out domain: diriugusuouo.com, In domain validation: univ-nktt.yolasite.com, Out domain validation: unininktktyolosite.com
Epoch: 125, Train Loss: 31.3416, Val Loss: 27.4641, In domain: chromecow.com, Out domain: chrhrowow.com, In domain validation: acmo.org, Out domain validation: kcac.org
Epoch: 126, Train Loss: 31.3567, Val Loss: 27.4133, In domain: decor-eshop.cz, Out domain: dec-cohseop.cz, In domain validation: emilyeveryday.co, Out domain validation: ememveyeraday.co
Epoch: 127, Train Loss: 31.2975, Val Loss: 27.3936, In domain: rzrv.ir, Out domain: rzrt.ir, In domain validation: uhughed.club, Out domain validation: ugugheheblul
Epoch: 128, Train Loss: 31.3020, Val Loss: 27.3871, In domain: rgscoir.com, Out domain: gscrir.com, In domain validation: niazkade.ir, Out domain validation: ainakade.er
Epoch: 129, Train Loss: 31.2738, Val Loss: 27.3971, In domain: teencoin.com, Out domain: tntncnin.com, In domain validation: nute.edu.vn, Out domain validation: nntd.edv.vn
Epoch: 130, Train Loss: 31.2440, Val Loss: 27.3911, In domain: fauxid.com, Out domain: fawdix.com, In domain validation: lacasadefelipe.com, Out domain validation: llcasadededede.com
Epoch: 131, Train Loss: 31.2895, Val Loss: 27.4332, In domain: gcet.edu.om, Out domain: gagt.tdu.um, In domain validation: christof.com, Out domain validation: chrhofot.com
Epoch: 132, Train Loss: 32.2653, Val Loss: 28.0613, In domain: bigibiz.com, Out domain: bgeibib.com, In domain validation: job-search.online, Out domain validation: jos-seaeah.h.nene
Epoch: 133, Train Loss: 31.7993, Val Loss: 27.8008, In domain: klaster-plus.ua, Out domain: klkerer-u-uu.ua, In domain validation: optmagazin.com, Out domain validation: optgagazin.com
Epoch: 134, Train Loss: 31.8635, Val Loss: 27.8060, In domain: aventour-madagascar.com, Out domain: eveonnur-r-eagaarar.com, In domain validation: goml.ml, Out domain validation: ogc.ml
Epoch: 135, Train Loss: 31.8760, Val Loss: 27.8171, In domain: thegrownetwork.com, Out domain: thpgroetetwkwo.com, In domain validation: kdrakorshow.com, Out domain validation: drmkakohow.com
Epoch: 136, Train Loss: 31.6446, Val Loss: 27.6962, In domain: iptvembed.net, Out domain: irtrembmb.net, In domain validation: colonialfirststate.com.au, Out domain validation: bllmlifiairiratste.com.au
Epoch: 137, Train Loss: 31.6997, Val Loss: 27.7442, In domain: xproevents.com, Out domain: xprvevents.com, In domain validation: japanesesexhd.com, Out domain validation: jananeeeshdhx.com
Epoch: 138, Train Loss: 31.5742, Val Loss: 27.6725, In domain: greenkidedu.com, Out domain: grgeieidude.com, In domain validation: talsmafurniture.com, Out domain validation: ltlsfsfninirure.com
Epoch: 139, Train Loss: 31.6971, Val Loss: 27.7255, In domain: youarenotsosmart.com, Out domain: youorerotstsmtra.com, In domain validation: giffarine.com, Out domain validation: gifianire.com
Epoch: 140, Train Loss: 31.7583, Val Loss: 27.8559, In domain: joseph101.com, Out domain: josesh101.com, In domain validation: shqip-ani.me, Out domain validation: sisiana-i.me
Epoch: 141, Train Loss: 31.6690, Val Loss: 27.7077, In domain: hostimm.eu, Out domain: oitite.su, In domain validation: theeaglebus.com, Out domain validation: htglgaebes.com
Epoch: 142, Train Loss: 31.5465, Val Loss: 27.6765, In domain: nyidanmark.dk, Out domain: ndiyaarard.dk, In domain validation: efaltirio.wordpress.com, Out domain validation: egelririo.wopdprere.com
Epoch: 143, Train Loss: 31.4671, Val Loss: 27.5813, In domain: lifetimedaily.com, Out domain: ldtitididaily.com, In domain validation: bitru.org, Out domain validation: itru.org
Epoch: 144, Train Loss: 31.6045, Val Loss: 27.7562, In domain: timercountdown.net, Out domain: tiremetntuwodo.net, In domain validation: energy941.com, Out domain validation: enere0009.com
Epoch: 145, Train Loss: 31.4288, Val Loss: 27.5331, In domain: trainingbible.com, Out domain: trninebiniele.com, In domain validation: placenzaexistenci.cz, Out domain validation: papleanaesistencc.cz
Epoch: 146, Train Loss: 31.7520, Val Loss: 27.8029, In domain: sgbudgetbabe.com, Out domain: susudgdtece.com, In domain validation: sewmodernbags.com, Out domain validation: seoewrnrebabs.com
Epoch: 147, Train Loss: 31.6347, Val Loss: 27.7514, In domain: maverickgarces.com, Out domain: maririeieieces.com, In domain validation: alarabpost.com, Out domain validation: albbarsoot.com
Epoch: 148, Train Loss: 31.6358, Val Loss: 27.6041, In domain: bdjujuy.gob.ar, Out domain: djujug.goa.r, In domain validation: satsis.org, Out domain validation: saisis.org
Epoch: 149, Train Loss: 31.5071, Val Loss: 27.7030, In domain: itenotes.blogspot.com, Out domain: tetoset.blogspot.com, In domain validation: ooredoo.com.mm, Out domain validation: oieroc.com.mm
Epoch: 150, Train Loss: 31.8964, Val Loss: 27.8464, In domain: alia.org.au, Out domain: ilaa.org.au, In domain validation: teatenerife.es, Out domain validation: eteanenerire.es
Epoch: 151, Train Loss: 31.5752, Val Loss: 27.6678, In domain: kukd.com, Out domain: kukd.com, In domain validation: redeemerdelft.nl, Out domain validation: dedeememdelet.tl
